Data_Type,Cell_Type,Experimental_Factors,Treatment,Lab,PI,Assembly,Status,GEO_Accession,DCC_Accession,Date_Unrestricted
ChIP-seq,NHEK,Antibody=Input,none,Broad,Bernstein,hg19,released,GSM733740,wgEncodeEH000072,3/21/2011
ChIP-seq,NHEK,Antibody=Input,none,UW,Stamatoyannopoulos,hg18,released,,,11/18/2010
ChIP-seq,NHEK,Antibody=Input,none,UW,Stamatoyannopoulos,hg19,released,GSM749744,wgEncodeEH000472,11/18/2010
ChIP-seq,NHEK,Antibody=Input Version=V2,none,Broad,Bernstein,hg18,released,,,10/7/2009
ChIP-seq,NHEK,Antibody=Pol2(b),none,Broad,Bernstein,hg18,released,,,10/7/2009
ChIP-seq,NHEK,Antibody=Pol2(b),none,Broad,Bernstein,hg19,released,GSM733671,wgEncodeEH000073,10/7/2009
ChIP-seq,NHEK,Antibody=Pol2(b) Version=V2,none,Broad,Bernstein,hg18,released,,,10/7/2009
ChIP-seq,NHLF,Antibody=CTCF,none,Broad,Bernstein,hg18,released,,,9/16/2010
ChIP-seq,NHLF,Antibody=CTCF,none,Broad,Bernstein,hg19,released,GSM733695,wgEncodeEH000120,9/16/2010
ChIP-seq,NHLF,Antibody=CTCF,none,UW,Stamatoyannopoulos,hg19,released,,wgEncodeEH002548,9/12/2012
ChIP-seq,NHLF,Antibody=EZH2_(39875),none,Broad,Bernstein,hg19,released,,wgEncodeEH002422,7/21/2012
ChIP-seq,NHLF,Antibody=H2A.Z,none,Broad,Bernstein,hg19,released,,wgEncodeEH002423,7/20/2012
ChIP-seq,NHLF,Antibody=H3K27ac,none,Broad,Bernstein,hg18,released,,,6/28/2010
ChIP-seq,NHLF,Antibody=H3K27ac,none,Broad,Bernstein,hg19,released,GSM733646,wgEncodeEH000097,6/28/2010
ChIP-seq,NHLF,Antibody=H3K27me3,none,Broad,Bernstein,hg18,released,,,6/29/2010
ChIP-seq,NHLF,Antibody=H3K27me3,none,Broad,Bernstein,hg19,released,GSM733764,wgEncodeEH000098,6/29/2010
ChIP-seq,NHLF,Antibody=H3K36me3,none,Broad,Bernstein,hg18,released,,,6/28/2010
ChIP-seq,NHLF,Antibody=H3K36me3,none,Broad,Bernstein,hg19,released,GSM733699,wgEncodeEH000099,6/28/2010
ChIP-seq,NHLF,Antibody=H3K4me1,none,Broad,Bernstein,hg18,released,,,6/28/2010
ChIP-seq,NHLF,Antibody=H3K4me1,none,Broad,Bernstein,hg19,released,GSM733649,wgEncodeEH000100,6/28/2010
ChIP-seq,NHLF,Antibody=H3K4me2,none,Broad,Bernstein,hg18,released,,,6/28/2010
ChIP-seq,NHLF,Antibody=H3K4me2,none,Broad,Bernstein,hg19,released,GSM733781,wgEncodeEH000101,6/28/2010
ChIP-seq,NHLF,Antibody=H3K4me3,none,Broad,Bernstein,hg18,released,,,6/28/2010
ChIP-seq,NHLF,Antibody=H3K4me3,none,Broad,Bernstein,hg19,released,GSM733723,wgEncodeEH000102,6/28/2010
ChIP-seq,NHLF,Antibody=H3K4me3,none,UW,Stamatoyannopoulos,hg19,released,GSM945262,wgEncodeEH001910,3/24/2012
ChIP-seq,NHLF,Antibody=H3K79me2,none,Broad,Bernstein,hg19,released,GSM1003549,wgEncodeEH002439,7/25/2012
ChIP-seq,NHLF,Antibody=H3K9ac,none,Broad,Bernstein,hg18,released,,,6/28/2010
ChIP-seq,NHLF,Antibody=H3K9ac,none,Broad,Bernstein,hg19,released,GSM733652,wgEncodeEH000103,6/28/2010
ChIP-seq,NHLF,Antibody=H3K9me3,none,Broad,Bernstein,hg19,released,GSM1003531,wgEncodeEH002424,7/20/2012
ChIP-seq,NHLF,Antibody=H4K20me1,none,Broad,Bernstein,hg18,released,,,6/28/2010
ChIP-seq,NHLF,Antibody=H4K20me1,none,Broad,Bernstein,hg19,released,GSM733706,wgEncodeEH000104,6/28/2010
ChIP-seq,NHLF,Antibody=Input,none,Broad,Bernstein,hg18,released,,,6/29/2010
ChIP-seq,NHLF,Antibody=Input,none,Broad,Bernstein,hg19,released,GSM733731,wgEncodeEH000105,3/21/2011
ChIP-seq,NHLF,Antibody=Input,none,UW,Stamatoyannopoulos,hg19,released,GSM945280,wgEncodeEH001899,3/24/2012
ChIP-seq,NT2-D1,Antibody=H3K27me3B Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM788071,wgEncodeEH000908,2/4/2011
ChIP-seq,NT2-D1,Antibody=H3K36me3B Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM788081,wgEncodeEH000915,3/11/2011
ChIP-seq,NT2-D1,Antibody=H3K4me1 Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM788083,wgEncodeEH000917,3/21/2011
ChIP-seq,NT2-D1,Antibody=H3K4me3B Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM788072,wgEncodeEH000909,2/4/2011
ChIP-seq,NT2-D1,Antibody=H3K9acB Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM788086,wgEncodeEH000910,2/4/2011
ChIP-seq,NT2-D1,Antibody=H3K9me3 Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM788080,wgEncodeEH000918,3/21/2011
ChIP-seq,NT2-D1,Antibody=Input Control=UCDavis Input Control,none,USC,Farnham,hg18,released,,,3/8/2010
ChIP-seq,NT2-D1,Antibody=Input Control=UCDavis Input Control,none,USC,Farnham,hg19,released,,wgEncodeEH000654,3/8/2010
ChIP-seq,NT2-D1,Antibody=Input Control=UCDavis Input Control Version=V2,none,USC,Farnham,hg18,released,,,3/8/2010
ChIP-seq,NT2-D1,Antibody=SUZ12 Control=UCDavis Input Control,none,USC,Farnham,hg18,released,,,3/5/2010
ChIP-seq,NT2-D1,Antibody=SUZ12 Control=UCDavis Input Control,none,USC,Farnham,hg19,released,,wgEncodeEH000652,3/5/2010
ChIP-seq,NT2-D1,Antibody=SUZ12 Control=UCDavis Input Control Version=V2,none,USC,Farnham,hg18,released,,,3/5/2010
ChIP-seq,NT2-D1,Antibody=YY1 Control=UCDavis Input Control,none,USC,Farnham,hg18,released,,,3/5/2010
ChIP-seq,NT2-D1,Antibody=YY1 Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM935424,wgEncodeEH000653,3/3/2012
ChIP-seq,NT2-D1,Antibody=YY1 Control=UCDavis Input Control Version=V2,none,USC,Farnham,hg18,released,,,3/5/2010
ChIP-seq,NT2-D1,Antibody=ZNF274 Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM935584,wgEncodeEH001775,10/13/2011
ChIP-seq,Osteobl,Antibody=CTCF,none,Broad,Bernstein,hg19,released,GSM733784,wgEncodeEH001041,8/15/2011
ChIP-seq,Osteobl,Antibody=H2A.Z,none,Broad,Bernstein,hg19,released,GSM733766,wgEncodeEH001042,8/15/2011
ChIP-seq,Osteobl,Antibody=H3K27ac,none,Broad,Bernstein,hg19,released,GSM733739,wgEncodeEH001043,8/15/2011
ChIP-seq,Osteobl,Antibody=H3K27me3,none,Broad,Bernstein,hg19,released,,wgEncodeEH002400,7/20/2012
ChIP-seq,Osteobl,Antibody=H3K36me3,none,Broad,Bernstein,hg19,released,GSM733721,wgEncodeEH001044,8/15/2011
ChIP-seq,Osteobl,Antibody=H3K4me1,none,Broad,Bernstein,hg19,released,GSM733704,wgEncodeEH001045,8/15/2011
ChIP-seq,Osteobl,Antibody=H3K4me2,none,Broad,Bernstein,hg19,released,GSM733779,wgEncodeEH001046,8/15/2011
ChIP-seq,Osteobl,Antibody=H3K4me3,none,Broad,Bernstein,hg19,released,,wgEncodeEH003091,12/15/2012
ChIP-seq,Osteobl,Antibody=H3K79me2,none,Broad,Bernstein,hg19,released,GSM1003502,wgEncodeEH002440,7/25/2012
ChIP-seq,Osteobl,Antibody=H3K9me3,none,Broad,Bernstein,hg19,released,GSM733681,wgEncodeEH001047,8/15/2011
ChIP-seq,Osteobl,Antibody=H4K20me1,none,Broad,Bernstein,hg19,released,,wgEncodeEH002401,7/20/2012
ChIP-seq,Osteobl,Antibody=Input,none,Broad,Bernstein,hg19,released,GSM733697,wgEncodeEH001056,9/6/2011
ChIP-seq,Osteobl,Antibody=P300_KAT3B,none,Broad,Bernstein,hg19,released,,wgEncodeEH003113,4/23/2013
ChIP-seq,PANC-1,Antibody=H3K27ac Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM818826,wgEncodeEH002080,6/19/2012
ChIP-seq,PANC-1,Antibody=H3K4me1_(pAb-037-050) Control=UCDavis Input Control,none,USC,Farnham,hg19,released,,wgEncodeEH002081,6/19/2012
ChIP-seq,PANC-1,Antibody=H3K4me3,none,UW,Stamatoyannopoulos,hg19,released,GSM945261,wgEncodeEH001911,3/24/2012
ChIP-seq,PANC-1,Antibody=H3K4me3B Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM945856,wgEncodeEH002876,12/29/2012
ChIP-seq,PANC-1,Antibody=Input,none,UW,Stamatoyannopoulos,hg19,released,,wgEncodeEH001900,3/24/2012
ChIP-seq,PANC-1,Antibody=Input Control=UCDavis Input Control,none,USC,Farnham,hg19,released,,wgEncodeEH002070,6/19/2012
ChIP-seq,PANC-1,Antibody=NRSF Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010859,wgEncodeEH003285,4/28/2013
ChIP-seq,PANC-1,Antibody=NRSF Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg18,released,,,4/19/2010
ChIP-seq,PANC-1,Antibody=NRSF Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg19,released,GSM803370,wgEncodeEH001552,5/6/2011
ChIP-seq,PANC-1,Antibody=NRSF Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM1010792,wgEncodeEH002280,3/29/2012
ChIP-seq,PANC-1,Antibody=Pol2-4H8 Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM1010788,wgEncodeEH002265,3/27/2012
ChIP-seq,PANC-1,Antibody=RevXlinkChromatin Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010853,wgEncodeEH003429,5/1/2013
ChIP-seq,PANC-1,Antibody=RevXlinkChromatin Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg18,released,,,4/19/2010
ChIP-seq,PANC-1,Antibody=RevXlinkChromatin Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg19,released,GSM803394,wgEncodeEH001525,10/20/2011
ChIP-seq,PANC-1,Antibody=RevXlinkChromatin Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM1010796,wgEncodeEH002285,4/18/2012
ChIP-seq,PANC-1,Antibody=Sin3Ak-20 Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM1010785,wgEncodeEH002266,3/27/2012
ChIP-seq,PANC-1,Antibody=TCF7L2 Control=UCDavis Input Control,none,USC,Farnham,hg19,released,,wgEncodeEH002071,6/19/2012
ChIP-seq,PBDE,Antibody=GATA-1 Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM935465,wgEncodeEH001765,6/23/2011
ChIP-seq,PBDE,Antibody=Input Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM935593,wgEncodeEH001778,10/14/2011
ChIP-seq,PBDE,Antibody=Pol2 Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM935462,wgEncodeEH001766,7/13/2011
ChIP-seq,PBDEFetal,Antibody=GATA-1 Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM935333,wgEncodeEH001785,2/13/2012
ChIP-seq,PBDEFetal,Antibody=Input Control=UCDavis Input Control,none,USC,Farnham,hg19,released,,wgEncodeEH001786,2/13/2012
ChIP-seq,PBMC,Antibody=H3K27me3B Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM788073,wgEncodeEH001746,2/13/2012
ChIP-seq,PBMC,Antibody=H3K4me1 Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM788084,wgEncodeEH001747,2/13/2012
ChIP-seq,PBMC,Antibody=H3K4me3B Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM788075,wgEncodeEH001882,3/28/2012
ChIP-seq,PBMC,Antibody=H3K9me3 Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM788079,wgEncodeEH001748,2/13/2012
ChIP-seq,PBMC,Antibody=Input Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM788070,wgEncodeEH001883,3/28/2012
ChIP-seq,PFSK-1,Antibody=FOXP2 Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg18,released,,,7/31/2009
ChIP-seq,PFSK-1,Antibody=FOXP2 Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg19,released,GSM803480,wgEncodeEH001460,2/20/2012
ChIP-seq,PFSK-1,Antibody=NRSF Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg18,released,,,4/17/2010
ChIP-seq,PFSK-1,Antibody=NRSF Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg19,released,GSM803369,wgEncodeEH001553,10/20/2011
ChIP-seq,PFSK-1,Antibody=NRSF Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,,wgEncodeEH002267,3/27/2012
ChIP-seq,PFSK-1,Antibody=Pol2-4H8 Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM1010819,wgEncodeEH002272,3/28/2012
ChIP-seq,PFSK-1,Antibody=RevXlinkChromatin Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg18,released,,,2/17/2012
ChIP-seq,PFSK-1,Antibody=RevXlinkChromatin Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg19,released,GSM803376,wgEncodeEH001558,10/19/2011
ChIP-seq,PFSK-1,Antibody=RevXlinkChromatin Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM1010797,wgEncodeEH002286,4/18/2012
ChIP-seq,PFSK-1,Antibody=Sin3Ak-20 Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM1010781,wgEncodeEH002268,3/27/2012
ChIP-seq,PFSK-1,Antibody=TAF1 Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,,wgEncodeEH002309,6/13/2012
ChIP-seq,Pancreas_OC,Antibody=CTCF,none,UT-A,Iyer,hg19,released,GSM1006881,wgEncodeEH003463,4/30/2013
ChIP-seq,Pancreas_OC,Antibody=Input,none,UT-A,Iyer,hg19,released,,wgEncodeEH003454,4/26/2013
ChIP-seq,ProgFib,Antibody=CTCF,none,UT-A,Iyer,hg18,released,,,10/2/2010
ChIP-seq,ProgFib,Antibody=CTCF,none,UT-A,Iyer,hg19,released,GSM822272,wgEncodeEH000600,10/2/2010
ChIP-seq,ProgFib,Antibody=Input,none,UT-A,Iyer,hg18,released,,,9/22/2010
ChIP-seq,ProgFib,Antibody=Input,none,UT-A,Iyer,hg19,released,GSM822269,wgEncodeEH000593,9/22/2010
ChIP-seq,ProgFib,Antibody=Pol2,none,UT-A,Iyer,hg18,released,,,10/10/2010
ChIP-seq,ProgFib,Antibody=Pol2,none,UT-A,Iyer,hg19,released,GSM822282,wgEncodeEH000606,10/10/2010
ChIP-seq,RPTEC,Antibody=CTCF,none,UW,Stamatoyannopoulos,hg19,released,,wgEncodeEH002059,4/28/2012
ChIP-seq,RPTEC,Antibody=H3K4me3,none,UW,Stamatoyannopoulos,hg19,released,GSM945216,wgEncodeEH002044,4/28/2012
ChIP-seq,RPTEC,Antibody=Input,none,UW,Stamatoyannopoulos,hg19,released,GSM945217,wgEncodeEH002045,4/28/2012
ChIP-seq,Raji,Antibody=Input Control=UCDavis Input Control,none,USC,Farnham,hg19,released,GSM935460,wgEncodeEH001760,9/6/2011
ChIP-seq,Raji,Antibody=Pol2 Control=UCDavis Input Control,none,USC,Farnham,hg19,released,,wgEncodeEH001761,2/20/2011
ChIP-seq,Raji,Antibody=Pol2 Control=UCDavis Input Control Version=V2,none,Stanford,Snyder,hg19,released,,wgEncodeEH003379,4/13/2013
ChIP-seq,SAEC,Antibody=CTCF,none,UW,Stamatoyannopoulos,hg18,released,,,7/19/2010
ChIP-seq,SAEC,Antibody=CTCF,none,UW,Stamatoyannopoulos,hg19,released,GSM749779,wgEncodeEH000437,7/19/2010
ChIP-seq,SAEC,Antibody=H3K27me3,none,UW,Stamatoyannopoulos,hg18,released,,,7/19/2010
ChIP-seq,SAEC,Antibody=H3K27me3,none,UW,Stamatoyannopoulos,hg19,released,GSM945200,wgEncodeEH000420,7/11/2010
ChIP-seq,SAEC,Antibody=H3K36me3,none,UW,Stamatoyannopoulos,hg18,released,,,7/19/2010
ChIP-seq,SAEC,Antibody=H3K36me3,none,UW,Stamatoyannopoulos,hg19,released,GSM945226,wgEncodeEH000438,7/19/2010
ChIP-seq,SAEC,Antibody=H3K4me3,none,UW,Stamatoyannopoulos,hg18,released,,,7/11/2010
ChIP-seq,SAEC,Antibody=H3K4me3,none,UW,Stamatoyannopoulos,hg19,released,GSM945199,wgEncodeEH000421,7/11/2010
ChIP-seq,SAEC,Antibody=Input,none,UW,Stamatoyannopoulos,hg18,released,,,11/18/2010
ChIP-seq,SAEC,Antibody=Input,none,UW,Stamatoyannopoulos,hg19,released,,wgEncodeEH000473,11/18/2010
ChIP-seq,SH-SY5Y,Antibody=GATA-2 Control=UCDavis Input Control,none,USC,Farnham,hg19,released,,wgEncodeEH001770,7/20/2011
ChIP-seq,SH-SY5Y,Antibody=GATA3_(SC-269) Control=UCDavis Input Control,none,USC,Farnham,hg19,released,,wgEncodeEH002031,3/29/2012
ChIP-seq,SH-SY5Y,Antibody=Input Control=UCDavis Input Control,none,USC,Farnham,hg19,released,,wgEncodeEH001783,11/3/2011
ChIP-seq,SK-N-MC,Antibody=FOXP2 Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg18,released,,,7/31/2009
ChIP-seq,SK-N-MC,Antibody=FOXP2 Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg19,released,GSM803353,wgEncodeEH001461,7/31/2009
ChIP-seq,SK-N-MC,Antibody=H3K4me3,none,UW,Stamatoyannopoulos,hg19,released,GSM945264,wgEncodeEH001912,3/24/2012
ChIP-seq,SK-N-MC,Antibody=Input,none,UW,Stamatoyannopoulos,hg19,released,GSM945247,wgEncodeEH001901,3/24/2012
ChIP-seq,SK-N-MC,Antibody=Pol2-4H8 Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM1010793,wgEncodeEH002281,3/29/2012
ChIP-seq,SK-N-MC,Antibody=Pol2-4H8 Protocol=biorupter PCR 1-round Version=V2,none,HudsonAlpha,Myers,hg19,released,,wgEncodeEH002281,3/27/2012
ChIP-seq,SK-N-MC,Antibody=RevXlinkChromatin Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg18,released,,,6/11/2009
ChIP-seq,SK-N-MC,Antibody=RevXlinkChromatin Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg19,released,GSM803492,wgEncodeEH001677,3/2/2012
ChIP-seq,SK-N-MC,Antibody=RevXlinkChromatin Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803423,wgEncodeEH001535,12/14/2011
ChIP-seq,SK-N-MC,Antibody=RevXlinkChromatin Protocol=biorupter PCR 1-round Version=V2,none,HudsonAlpha,Myers,hg19,released,GSM803423,wgEncodeEH001535,2/12/2011
ChIP-seq,SK-N-SH,Antibody=CTCF_(SC-15914) Control=IgG-rab,none,Stanford,Snyder,hg19,released,,wgEncodeEH003371,3/30/2013
ChIP-seq,SK-N-SH,Antibody=ELF1_(SC-631) Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010751,wgEncodeEH003242,4/19/2013
ChIP-seq,SK-N-SH,Antibody=FOSL2 Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010840,wgEncodeEH003297,4/29/2013
ChIP-seq,SK-N-SH,Antibody=FOXM1_(SC-502) Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010750,wgEncodeEH003243,4/19/2013
ChIP-seq,SK-N-SH,Antibody=GABP Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010739,wgEncodeEH003248,4/20/2013
ChIP-seq,SK-N-SH,Antibody=GATA3_(SC-268) Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010738,wgEncodeEH003249,4/20/2013
ChIP-seq,SK-N-SH,Antibody=Input Control=IgG-rab,none,Stanford,Snyder,hg19,released,GSM1003624,wgEncodeEH003393,5/14/2013
ChIP-seq,SK-N-SH,Antibody=JunD Control=IgG-rab,none,Stanford,Snyder,hg19,released,GSM1003632,wgEncodeEH003372,3/30/2013
ChIP-seq,SK-N-SH,Antibody=JunD Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,,wgEncodeEH003226,4/3/2013
ChIP-seq,SK-N-SH,Antibody=MEF2A Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010834,wgEncodeEH003298,4/29/2013
ChIP-seq,SK-N-SH,Antibody=Max Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010835,wgEncodeEH003299,4/29/2013
ChIP-seq,SK-N-SH,Antibody=Mxi1_(AF4185) Control=IgG-rab,none,Stanford,Snyder,hg19,released,GSM1003631,wgEncodeEH003373,3/30/2013
ChIP-seq,SK-N-SH,Antibody=NFIC_(SC-81335) Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,,wgEncodeEH003237,4/18/2013
ChIP-seq,SK-N-SH,Antibody=NRSF Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg18,released,,,4/19/2010
ChIP-seq,SK-N-SH,Antibody=NRSF Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg19,released,GSM803335,wgEncodeEH001547,9/1/2011
ChIP-seq,SK-N-SH,Antibody=NRSF Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,,wgEncodeEH002269,3/27/2012
ChIP-seq,SK-N-SH,Antibody=NRSF Protocol=biorupter PCR 1-round Version=V2,none,HudsonAlpha,Myers,hg19,released,,wgEncodeEH002269,3/27/2012
ChIP-seq,SK-N-SH,Antibody=Nrf1 Control=IgG-rab,none,Stanford,Snyder,hg19,released,,wgEncodeEH003374,3/30/2013
ChIP-seq,SK-N-SH,Antibody=Pbx3 Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010887,wgEncodeEH003300,4/29/2013
ChIP-seq,SK-N-SH,Antibody=Pol2-4H8 Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,,wgEncodeEH002270,3/27/2012
ChIP-seq,SK-N-SH,Antibody=RFX5_(200-401-194) Control=IgG-rab,none,Stanford,Snyder,hg19,released,,wgEncodeEH003375,3/30/2013
ChIP-seq,SK-N-SH,Antibody=RXRA Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,,wgEncodeEH003302,4/29/2013
ChIP-seq,SK-N-SH,Antibody=Rad21 Control=IgG-rab,none,Stanford,Snyder,hg19,released,GSM1003628,wgEncodeEH003376,3/30/2013
ChIP-seq,SK-N-SH,Antibody=RevXlinkChromatin Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,,wgEncodeEH003430,5/1/2013
ChIP-seq,SK-N-SH,Antibody=RevXlinkChromatin Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg18,released,,,4/19/2010
ChIP-seq,SK-N-SH,Antibody=RevXlinkChromatin Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg19,released,GSM803528,wgEncodeEH001473,10/21/2011
ChIP-seq,SK-N-SH,Antibody=RevXlinkChromatin Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM1010798,wgEncodeEH002287,4/18/2012
ChIP-seq,SK-N-SH,Antibody=SMC3_(ab9263) Control=IgG-rab,none,Stanford,Snyder,hg19,released,GSM1003627,wgEncodeEH003377,3/30/2013
ChIP-seq,SK-N-SH,Antibody=Sin3Ak-20 Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM1010816,wgEncodeEH002271,3/27/2012
ChIP-seq,SK-N-SH,Antibody=Sin3Ak-20 Protocol=biorupter PCR 1-round Version=V2,none,HudsonAlpha,Myers,hg19,released,,wgEncodeEH002271,3/27/2012
ChIP-seq,SK-N-SH,Antibody=TAF1 Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM1010773,wgEncodeEH002301,6/5/2012
ChIP-seq,SK-N-SH,Antibody=TCF12 Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010900,wgEncodeEH003227,4/3/2013
ChIP-seq,SK-N-SH,Antibody=TEAD4_(SC-101184) Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010858,wgEncodeEH003286,4/28/2013
ChIP-seq,SK-N-SH,Antibody=USF-1 Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010806,wgEncodeEH003269,4/28/2013
ChIP-seq,SK-N-SH,Antibody=YY1_(SC-281) Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,,wgEncodeEH003228,4/3/2013
ChIP-seq,SK-N-SH,Antibody=ZBTB33 Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010799,wgEncodeEH003261,4/26/2013
ChIP-seq,SK-N-SH,Antibody=p300 Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010763,wgEncodeEH003270,4/28/2013
ChIP-seq,SK-N-SH,Antibody=p300_(SC-584) Control=IgG-rab,none,Stanford,Snyder,hg19,released,GSM1003626,wgEncodeEH003378,3/30/2013
ChIP-seq,SK-N-SH_RA,Antibody=CTCF,none,UW,Stamatoyannopoulos,hg18,released,,,7/22/2010
ChIP-seq,SK-N-SH_RA,Antibody=CTCF,none,UW,Stamatoyannopoulos,hg19,released,GSM749693,wgEncodeEH000439,7/19/2010
ChIP-seq,SK-N-SH_RA,Antibody=CTCF Protocol=sonicator PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803333,wgEncodeEH001613,9/17/2011
ChIP-seq,SK-N-SH_RA,Antibody=H3K27me3,none,UW,Stamatoyannopoulos,hg18,released,,,7/19/2010
ChIP-seq,SK-N-SH_RA,Antibody=H3K27me3,none,UW,Stamatoyannopoulos,hg19,released,GSM945210,wgEncodeEH000440,7/19/2010
ChIP-seq,SK-N-SH_RA,Antibody=H3K36me3,none,UW,Stamatoyannopoulos,hg18,released,,,7/19/2010
ChIP-seq,SK-N-SH_RA,Antibody=H3K36me3,none,UW,Stamatoyannopoulos,hg19,released,GSM945209,wgEncodeEH000441,7/19/2010
ChIP-seq,SK-N-SH_RA,Antibody=H3K4me3,none,UW,Stamatoyannopoulos,hg18,released,,,7/11/2010
ChIP-seq,SK-N-SH_RA,Antibody=H3K4me3,none,UW,Stamatoyannopoulos,hg19,released,GSM945202,wgEncodeEH000422,7/11/2010
ChIP-seq,SK-N-SH_RA,Antibody=Input,none,UW,Stamatoyannopoulos,hg18,released,,,11/18/2010
ChIP-seq,SK-N-SH_RA,Antibody=Input,none,UW,Stamatoyannopoulos,hg19,released,GSM749700,wgEncodeEH000474,11/18/2010
ChIP-seq,SK-N-SH_RA,Antibody=Rad21 Protocol=sonicator PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803497,wgEncodeEH001614,9/17/2011
